Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562345073.13297542">wfid_1562345073.13297542</a>,293,HInO2,<a href="https://materialsproject.org/materials/mp-504535/">mp-504535</a>,<a href="https://materialsproject.org/materials/mp-632711/">mp-632711</a>,31,58,13.2,0.010,0.245,1.781
<a href="candidate.html?wfid=wfid_1562345073.51183116">wfid_1562345073.51183116</a>,302,HfO3Pb,<a href="https://materialsproject.org/materials/mp-669414/">mp-669414</a>,<a href="https://materialsproject.org/materials/mp-22734/">mp-22734</a>,32,55,19.8,-0.003,0.608,2.795
<a href="candidate.html?wfid=wfid_1562345073.70348192">wfid_1562345073.70348192</a>,112,CHO2Tl,<a href="https://materialsproject.org/materials/mp-558579/">mp-558579</a>,<a href="https://materialsproject.org/materials/mp-557687/">mp-557687</a>,33,52,0.8,-0.000,0.078,3.501
<a href="candidate.html?wfid=wfid_1562345073.88793953">wfid_1562345073.88793953</a>,390,O3PbZr,<a href="https://materialsproject.org/materials/mp-647557/">mp-647557</a>,<a href="https://materialsproject.org/materials/mp-542903/">mp-542903</a>,32,55,23.5,-0.005,0.363,2.844
<a href="candidate.html?wfid=wfid_1562345074.16515924">wfid_1562345074.16515924</a>,365,NbO4Sb,<a href="https://materialsproject.org/materials/mp-3491/">mp-3491</a>,<a href="https://materialsproject.org/materials/mp-3612/">mp-3612</a>,33,52,18.1,0.000,0.211,2.446
<a href="candidate.html?wfid=wfid_1562345074.29488196">wfid_1562345074.29488196</a>,404,O5PTiTl,<a href="https://materialsproject.org/materials/mp-6706/">mp-6706</a>,<a href="https://materialsproject.org/materials/mp-559607/">mp-559607</a>,33,52,22.1,0.004,0.663,2.652
<a href="candidate.html?wfid=wfid_1562345074.60128275">wfid_1562345074.60128275</a>,26,AlCl4Hg2Sb,<a href="https://materialsproject.org/materials/mp-570828/">mp-570828</a>,<a href="https://materialsproject.org/materials/mp-568001/">mp-568001</a>,33,60,0.5,-0.000,0.739,0.891
<a href="candidate.html?wfid=wfid_1562345074.87030107">wfid_1562345074.87030107</a>,162,Cl4GaHg2Sb,<a href="https://materialsproject.org/materials/mp-568031/">mp-568031</a>,<a href="https://materialsproject.org/materials/mp-571190/">mp-571190</a>,33,60,0.5,-0.001,0.803,0.817
<a href="candidate.html?wfid=wfid_1562345075.60077746">wfid_1562345075.60077746</a>,164,Cl4K2Zn,<a href="https://materialsproject.org/materials/mp-618177/">mp-618177</a>,<a href="https://materialsproject.org/materials/mp-653454/">mp-653454</a>,33,62,2.2,-0.000,0.115,4.400
<a href="candidate.html?wfid=wfid_1562345075.73274781">wfid_1562345075.73274781</a>,346,MgO3Si,<a href="https://materialsproject.org/materials/mp-557803/">mp-557803</a>,<a href="https://materialsproject.org/materials/mp-5026/">mp-5026</a>,33,60,1.1,-0.004,1.523,4.662
