Workflow id,Search id,Formula,Polar id,Nonpolar id,Polar Spacegroup,Nonpolar Spacegroup,Polarization,Energy Difference,Max Distortion,Band Gap
<a href="candidate.html?wfid=wfid_1562345088.97236356">wfid_1562345088.97236356</a>,151,CeCuSn,<a href="https://materialsproject.org/materials/mp-22683/">mp-22683</a>,<a href="https://materialsproject.org/materials/mp-22761/">mp-22761</a>,186,194,--,0.009,0.360,0.003
<a href="candidate.html?wfid=wfid_1562345089.00815378">wfid_1562345089.00815378</a>,87,BiCuYb,<a href="https://materialsproject.org/materials/mp-22953/">mp-22953</a>,<a href="https://materialsproject.org/materials/mp-22960/">mp-22960</a>,186,194,--,0.034,0.571,0.000
<a href="candidate.html?wfid=wfid_1562345089.04666899">wfid_1562345089.04666899</a>,203,CuGeYb,<a href="https://materialsproject.org/materials/mp-567768/">mp-567768</a>,<a href="https://materialsproject.org/materials/mp-5111/">mp-5111</a>,186,194,--,0.000,0.051,0.000
<a href="candidate.html?wfid=wfid_1562345089.09864953">wfid_1562345089.09864953</a>,209,CuSbYb,<a href="https://materialsproject.org/materials/mp-11701/">mp-11701</a>,<a href="https://materialsproject.org/materials/mp-9439/">mp-9439</a>,186,194,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345089.18755185">wfid_1562345089.18755185</a>,155,Cl3CrCs,<a href="https://materialsproject.org/materials/mp-610955/">mp-610955</a>,<a href="https://materialsproject.org/materials/mp-570326/">mp-570326</a>,186,194,--,-0.000,0.072,0.000
<a href="candidate.html?wfid=wfid_1562345089.31591687">wfid_1562345089.31591687</a>,250,GaMo4S8,<a href="https://materialsproject.org/materials/mp-559694/">mp-559694</a>,<a href="https://materialsproject.org/materials/mp-2885/">mp-2885</a>,160,216,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345089.69436506">wfid_1562345089.69436506</a>,320,LiMnO2,<a href="https://materialsproject.org/materials/mp-775531/">mp-775531</a>,<a href="https://materialsproject.org/materials/mp-775236/">mp-775236</a>,9,12,--,-0.040,1.850,0.980
<a href="candidate.html?wfid=wfid_1562345089.76230197">wfid_1562345089.76230197</a>,14,Ag3IS,<a href="https://materialsproject.org/materials/mp-22995/">mp-22995</a>,<a href="https://materialsproject.org/materials/mp-558189/">mp-558189</a>,146,221,--,0.050,0.627,0.513
<a href="candidate.html?wfid=wfid_1562345089.82930048">wfid_1562345089.82930048</a>,99,Br3RbV,<a href="https://materialsproject.org/materials/mp-29314/">mp-29314</a>,<a href="https://materialsproject.org/materials/mp-570099/">mp-570099</a>,185,194,--,0.000,0.235,0.625
<a href="candidate.html?wfid=wfid_1562345089.93657805">wfid_1562345089.93657805</a>,247,FeO3Sc,<a href="https://materialsproject.org/materials/mp-771123/">mp-771123</a>,<a href="https://materialsproject.org/materials/mp-769970/">mp-769970</a>,185,194,--,0.015,0.460,0.950
<a href="candidate.html?wfid=wfid_1562345090.13953873">wfid_1562345090.13953873</a>,387,O2V,<a href="https://materialsproject.org/materials/mp-715553/">mp-715553</a>,<a href="https://materialsproject.org/materials/mp-714880/">mp-714880</a>,1,58,--,-0.069,1.757,0.851
<a href="candidate.html?wfid=wfid_1562345094.72739682">wfid_1562345094.72739682</a>,349,MnO3Y,<a href="https://materialsproject.org/materials/mp-19385/">mp-19385</a>,<a href="https://materialsproject.org/materials/mp-19227/">mp-19227</a>,185,194,--,0.021,0.351,0.013
<a href="candidate.html?wfid=wfid_1562345094.87268641">wfid_1562345094.87268641</a>,350,MnO3Y,<a href="https://materialsproject.org/materials/mp-19385/">mp-19385</a>,<a href="https://materialsproject.org/materials/mvc-11553/">mvc-11553</a>,185,194,--,0.021,0.353,0.013
<a href="candidate.html?wfid=wfid_1562345095.28203208">wfid_1562345095.28203208</a>,259,H2Mg,<a href="https://materialsproject.org/materials/mp-569051/">mp-569051</a>,<a href="https://materialsproject.org/materials/mp-1008901/">mp-1008901</a>,29,225,--,0.068,0.994,2.365
<a href="candidate.html?wfid=wfid_1562345095.84764302">wfid_1562345095.84764302</a>,27,AlCoO3,<a href="https://materialsproject.org/materials/mvc-3774/">mvc-3774</a>,<a href="https://materialsproject.org/materials/mvc-13532/">mvc-13532</a>,185,194,--,0.042,0.785,0.000
<a href="candidate.html?wfid=wfid_1562345096.13686232">wfid_1562345096.13686232</a>,42,AsNi,<a href="https://materialsproject.org/materials/mp-590/">mp-590</a>,<a href="https://materialsproject.org/materials/mp-2346/">mp-2346</a>,36,194,--,-0.001,0.055,0.000
<a href="candidate.html?wfid=wfid_1562345096.68042421">wfid_1562345096.68042421</a>,73,BaS3V,<a href="https://materialsproject.org/materials/mp-3451/">mp-3451</a>,<a href="https://materialsproject.org/materials/mp-4227/">mp-4227</a>,36,194,--,0.014,0.315,0.000
<a href="candidate.html?wfid=wfid_1562345096.94387271">wfid_1562345096.94387271</a>,251,GaMo4Se8,<a href="https://materialsproject.org/materials/mp-567394/">mp-567394</a>,<a href="https://materialsproject.org/materials/mp-5584/">mp-5584</a>,160,216,--,0.005,0.156,0.200
<a href="candidate.html?wfid=wfid_1562345097.39878133">wfid_1562345097.39878133</a>,35,AlMo4S8,<a href="https://materialsproject.org/materials/mp-554868/">mp-554868</a>,<a href="https://materialsproject.org/materials/mp-3861/">mp-3861</a>,160,216,--,0.002,0.123,0.104
<a href="candidate.html?wfid=wfid_1562345097.53150367">wfid_1562345097.53150367</a>,28,AlCrO3,<a href="https://materialsproject.org/materials/mvc-3775/">mvc-3775</a>,<a href="https://materialsproject.org/materials/mvc-13996/">mvc-13996</a>,185,194,--,-0.000,0.368,0.000
<a href="candidate.html?wfid=wfid_1562345098.53781532">wfid_1562345098.53781532</a>,411,PtU,<a href="https://materialsproject.org/materials/mp-542817/">mp-542817</a>,<a href="https://materialsproject.org/materials/mp-569752/">mp-569752</a>,4,63,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345098.61366590">wfid_1562345098.61366590</a>,137,Ca3Mn2O7,<a href="https://materialsproject.org/materials/mvc-11576/">mvc-11576</a>,<a href="https://materialsproject.org/materials/mp-19124/">mp-19124</a>,36,139,--,--,0.000,0.000
<a href="candidate.html?wfid=wfid_1562345099.00022301">wfid_1562345099.00022301</a>,135,Ca3Mn2O7,<a href="https://materialsproject.org/materials/mvc-11576/">mvc-11576</a>,<a href="https://materialsproject.org/materials/mp-19610/">mp-19610</a>,36,63,--,0.010,0.384,0.295
<a href="candidate.html?wfid=wfid_1562345099.89947666">wfid_1562345099.89947666</a>,36,AlMo4S8,<a href="https://materialsproject.org/materials/mvc-16083/">mvc-16083</a>,<a href="https://materialsproject.org/materials/mp-3861/">mp-3861</a>,160,216,--,0.002,0.123,0.104
<a href="candidate.html?wfid=wfid_1562345100.06969004">wfid_1562345100.06969004</a>,395,O3TiY,<a href="https://materialsproject.org/materials/mvc-3431/">mvc-3431</a>,<a href="https://materialsproject.org/materials/mvc-13995/">mvc-13995</a>,185,194,--,0.026,0.366,0.000
<a href="candidate.html?wfid=wfid_1562345100.17508190">wfid_1562345100.17508190</a>,351,MnO3Y,<a href="https://materialsproject.org/materials/mvc-16316/">mvc-16316</a>,<a href="https://materialsproject.org/materials/mp-19227/">mp-19227</a>,185,194,--,0.021,0.353,0.012
<a href="candidate.html?wfid=wfid_1562345100.32022475">wfid_1562345100.32022475</a>,136,Ca3Mn2O7,<a href="https://materialsproject.org/materials/mp-19042/">mp-19042</a>,<a href="https://materialsproject.org/materials/mp-19124/">mp-19124</a>,36,139,--,--,0.000,0.000
